id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
598,"El interruptor automático para la alimentación de un calentador de agua en el que ésta forma parte del circuito eléctrico: (ITC-BT 45)",,"Tendrá protección contra sobrecargas en cada conductor que conecte con un electrodo.","Será de corte omnipolar simultáneo.","Las respuestas a y b son correctas.","Las respuestas a y b son correctas."
599,"Indíquese la resolución del medidor de corrientes de fuga necesario para un instalador autorizado. (ITC-BT 03)",,"Menor o igual que 1 mA.","Mayor o igual que 1 mA.","Mayor o igual que 1 A.","Mayor o igual que 1 mA."
600,"Indíquese la sección mínima de los conductores de fase y neutro en las instalaciones aéreas de alumbrado exterior. (ITC-BT 09 5.2.2)",,"10 mm².","4 mm².","6 mm².","4 mm²."
601,"Los condensadores que no incorporen indicación de temperatura máxima admisible no se podrán utilizar en lugares donde la temperatura ambiente sea de: (ITC-BT 48)",,"40 °C.","30 °C.","50 °C o mayor.","50 °C o mayor."
602,"¿Cuál será la sección del conductor de protección común a tres circuitos cuyos conductores activos tienen 2,5 mm², 4 mm² y 6 mm² de sección? (ITC-BT 18)",,"6 mm².","4 mm².","2,5 mm².","6 mm²."
603,"El instalador autorizado, ¿cuánto tiempo debe conservar y tener a disposición de la administración una copia de los contratos de mantenimiento desde la finalización de los mismos? (ITC-BT 03)",,"Hasta que finaliza el contrato de mantenimiento.","1 año.","5 años.","5 años."
604,"¿A qué altura mínima desde el nivel del suelo se instalarán los dispositivos generales e individuales de mando y de protección de una lencería? (ITC-BT 17.1.1)",,"1 m.","1,10 m.","1,4 m.","1 m."
605,"¿Cómo puede realizarse un suministro complementario? (REBT Art. 10)",,"Mediante medios propios de producción.","Mediante medios propios de producción, pero sólo para un suministro de socorro.","Sólo se podrá realizar con otra empresa distribuidora diferente a la del suministro normal.","Mediante medios propios de producción."
606,"¿Qué características tendrán los cables de la instalación provisional de una obra? (ITC-BT 33)",,"Los cables a emplear en acometidas e instalaciones exteriores serán de tensión asignada mínima 450/750 V, con cubierta de policloropreno o similar y aptos para servicios móviles.","Para instalaciones interiores los cables serán de tensión asignada mínima 300/500 V y aptos para servicios móviles.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
607,"Las instalaciones receptoras que tengan un factor de potencia inferior a la unidad, ¿cómo podrán ser corregidas? (ITC-BT 43)",,"Por la totalidad de la instalación, con una batería automática que asegure que la variación del factor de potencia es mayor del ± 10 % del valor medio.","Por cada receptor, asegurándose de que el interruptor automático debe cortar la alimentación del receptor y del condensador de forma simultánea.","Por grupo de receptores, con una batería automática que asegure que la variación del factor de potencia es mayor del ± 10 % del valor medio.","Por cada receptor, asegurándose de que el interruptor automático debe cortar la alimentación del receptor y del condensador de forma simultánea."
608,"¿Cuál será la ocupación mínima prevista de un local de espectáculos de 300 m² de superficie útil? (ITC-BT 28)",,"375 personas.","300 personas.","240 personas.","375 personas."
609,"¿Qué sección mínima tendrán las redes de control para una instalación de alumbrado exterior? (ITC-BT 09)",,"4 mm².","2,5 mm².","6 mm².","2,5 mm²."
610,"A la protección que consiste en alimentar un circuito mediante un transformador de aislamiento se le denomina: (ITC-BT 24)",,"Protección contra contactos directos por separación eléctrica.","Protección contra contactos indirectos por separación eléctrica.","Protección contra corriente de sobrecarga.","Protección contra contactos indirectos por separación eléctrica."
611,"Si el sistema adoptado para las conexiones de conductores de una instalación interior es de tornillo de apriete entre una arandela metálica bajo su cabeza y una superficie metálica, ¿qué exigencia debe cumplirse? (ITC-BT 19)",,"Los conductores de sección superior a 6 mm² deberán conectarse por medio de terminales adecuados.","Los conductores de sección inferior a 6 mm² deberán conectarse por medio de terminales adecuados.","Los conductores de sección superior a 6 mm² deberán conectarse por retorcimiento.","Los conductores de sección superior a 6 mm² deberán conectarse por medio de terminales adecuados."
612,"¿Cómo se denomina a la corriente que pasa a través del cuerpo humano cuando está sometido a una tensión? (ITC-BT 01)",,"Corriente de contacto.","Corriente de defecto.","Contacto indirecto.","Corriente de contacto."
613,"La previsión de cargas mínima para un edificio de 15 viviendas de 95 m² será: (ITC-BT 10)",,"109 480 W.","64 975 W.","68 425 W.","68 425 W."
614,"Cada base de toma de corriente de una instalación temporal de obra, debe contar con dispositivos diferenciales de corriente residual asignada máxima de: (ITC-BT 33)",,"30 mA.","10 mA.","300 mA.","30 mA."
615,"¿Cómo se seleccionarán los equipos eléctricos de una muestra? (ITC-BT 34)",,"Se seleccionará en función de la potencia necesaria únicamente.","Se seleccionará en función de las necesidades de funcionamiento.","Se seleccionará de forma que el aumento de su temperatura normal y el aumento de temperatura previsible en caso de fallo no dé lugar a una situación peligrosa.","Se seleccionará de forma que el aumento de su temperatura normal y el aumento de temperatura previsible en caso de fallo no dé lugar a una situación peligrosa."
616,"Se ha montado una batería de condensadores automática para toda una instalación receptora. ¿Cuál es la variación máxima permitida del factor de potencia sobre el valor medio? (ITC-BT 43)",,"± 5%.","± 10%.","± 15%.","± 10%."
617,"Una red subterránea de alumbrado exterior se realizará con conductores de sección mínima: (ITC-BT 09 5.2.1)",,"4 mm².","2,5 mm².","6 mm².","6 mm²."
618,"¿Qué es un defecto muy grave en una instalación eléctrica? (ITC-BT 05)",,"Es todo aquél que la razón o la experiencia determina que no constituye un peligro inmediato para la seguridad de las personas o los bienes.","Es todo aquél que la razón o la experiencia determina que constituye un peligro inmediato para la seguridad de las personas o los bienes.","Es el que puede reducir de modo sustancial la capacidad de utilización de la instalación eléctrica.","Es todo aquél que la razón o la experiencia determina que constituye un peligro inmediato para la seguridad de las personas o los bienes."
619,"¿Cuál será la máxima caída de tensión entre el origen de la instalación y cualquier otro punto de una instalación de alumbrado exterior? (ITC-BT 09)",,"Será menor o igual del 5%.","Será menor o igual del 3%.","Será mayor o igual del 3%.","Será menor o igual del 3%."
620,"¿Cuál será la capacidad mínima de una fuente propia de energía para un alumbrado de seguridad? (ITC-BT 28)",,"Será, como norma general, la precisa para proveer el alumbrado de seguridad en las condiciones señaladas en la ITC-BT 28.","Será, como norma general, la precisa para proveer el alumbrado de seguridad en las condiciones señaladas en la ITC-BT 29.","En REBT no dice nada al respecto.","Será, como norma general, la precisa para proveer el alumbrado de seguridad en las condiciones señaladas en la ITC-BT 28."
621,"Cuando en una dependencia o local hay varios puntos de luz para alumbrado de emergencia alimentados por fuente central, ¿cómo debemos repartirlos? (ITC-BT 28)",,"En 2 líneas.","En 3 líneas.","Una línea para cada 2 puntos de luz.","En 2 líneas."
622,"¿Cuál es la potencia aparente mínima en VA para el cálculo de las líneas de alimentación a las lámparas de descarga de alumbrado exterior? (ITC-BT 09)",,"1,8 veces la potencia en vatios de las lámparas de descarga.","1,6 veces la potencia en vatios de las lámparas de descarga.","1,8 veces la potencia en VA de las lámparas de descarga.","1,8 veces la potencia en VA de las lámparas de descarga."
623,"La conexión eléctrica que pone al mismo potencial a las partes conductoras accesibles y elementos conductores se denomina: (ITC-BT 01)",,"Conexión equipotencial.","Conexión a tierra.","Conector.","Conexión equipotencial."
624,"Indíquese la intensidad máxima admisible para un cable de cobre, tetrapolar, de 70 mm² de sección y con aislamiento de XLPE, tensión asignada de 0,6/1 kV, instalado bajo tubo flexible en montaje fijo en superficie a la temperatura de 20 °C. (ITC-BT 21)",,"201,78 A.","No está permitido el tubo flexible para montaje fijo en superficie.","171 A.","No está permitido el tubo flexible para montaje fijo en superficie."
625,"¿Se podrá utilizar un mismo conductor neutro para varios circuitos en instalaciones interiores de viviendas? (ITC-BT 26)",,"Nunca.","Sí, en cuyo caso su sección será como mínimo la que corresponda a la suma de las secciones de los circuitos que lo compartan.","Sólo en casos debidamente justificados por la imposibilidad técnica de instalar un conductor neutro por circuito.","Nunca."
626,"¿Cuál será la sección mínima del neutro en instalaciones interiores? (ITC-BT 19)",,"Igual a la de las fases, salvo justificación por cálculo.","La mitad que la de las fases, salvo justificación por cálculo.","El doble que la de las fases, salvo justificación por cálculo.","Igual a la de las fases, salvo justificación por cálculo."
627,"En las instalaciones para piscinas las canalizaciones deben ser: (ITC-BT 31/ITC-BT 30)",,"Estancas.","Bajo tubo empotradas con una resistencia a la corrosión mínima de 4.","Bajo tubo superficial con una resistencia a la corrosión mínima de 2.","Estancas."
628,"En el volumen 2 de un local con baño, ¿se pueden instalar mecanismos? (ITC-BT 27)",,"No está permitido.","Sí, si están protegidos con un diferencial no superior a 30 mA.","Ninguna es correcta.","Ninguna es correcta."
629,"¿Cuándo necesitará de inspección inicial la instalación eléctrica de un local de pública concurrencia? (ITC-BT 05)",,"Siempre.","Nunca.","Cuando la potencia sea superior a 100 kW.","Siempre."
630,"¿Cuál es la sección mínima del conductor neutro de una línea general de alimentación si es de cobre? (ITC-BT 14.3)",,"10 mm².","16 mm².","35 mm².","10 mm²."
631,"¿Cuál es el objetivo de la ITC-BT 39? (ITC-BT 39)",,"Determinar los requisitos particulares de las cercas eléctricas para ganado y su instalación, pero no de su alimentación.","Determinar los requisitos generales de las cercas eléctricas para ganado, su alimentador y su instalación.","Determinar los requisitos particulares de las cercas eléctricas para ganado, su alimentador y su instalación.","Determinar los requisitos particulares de las cercas eléctricas para ganado, su alimentador y su instalación."
632,"¿Qué se entiende por corte omnipolar no simultáneo? (ITC-BT 01)",,"Cuando la conexión del neutro se establece después que la de las fases y se desconectan estas antes que el neutro.","Cuando la conexión del neutro se establece antes que la de las fases y se desconectan estas antes que el neutro.","Cuando la conexión del neutro se establece antes que la de las fases y se desconectan estas después que el neutro.","Cuando la conexión del neutro se establece antes que la de las fases y se desconectan estas antes que el neutro."
